campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-12,62.54,271459,4223.0,0.0156,72,1529.02,24.45,Carousel,3â€‘pack deal ends tonight â€” upgrade your men drawer with athletic briefs.,Broad,Facebook,UK
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-01-13,861.17,176187,3487.0,0.0198,0,2364.53,2.75,Video,Hot & comfy: men briefs now 20% off â€” feel the difference.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-1 Retarget,2025-01-14,320.85,321658,2925.0,0.0091,66,1446.2,4.51,Video,Seamless confidence for every day â€” new men athletic briefs.,Broad,Instagram,UK
Men ComfortMax Launch,Adset-1 Retarget,2025-01-15,699.17,134964,2740.0,0.0203,74,1806.8,2.58,Image,Seamless confidence for every day â€” new men trunks.,Broad,Facebook,UK
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-01-16,338.87,57867,1356.0,0.0234,34,649.43,1.92,UGC,"Push comfort, not wires â€” everyday men trunks.",Retargeting,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-17,575.27,20426,197.0,0.0096,5,177.1,0.31,Video,Hot & comfy: men inner vests now 20% off â€” feel the difference.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-1 Retarget,2025-01-18,697.57,81860,1228.0,0.015,24,1031.2,1.48,Video,Cooling mesh panels for workouts â€” men briefs youâ€™ll actually love.,Lookalike,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-01-19,296.84,347271,6665.0,0.0192,199,6427.81,21.65,UGC,"Allâ€‘day comfort, zero pinch â€” try our men trunks!",Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,2025-01-20,633.8,333615,5872.0,0.0176,0,3910.48,6.17,Image,Hot & comfy: men inner vests now 20% off â€” feel the difference.,Broad,Facebook,US
Men Comfortmax Lunch,Adset-1 Retarget,2025-01-21,794.13,338152,6489.0,0.0192,206,4272.38,5.38,Video,"Push comfort, not wires â€” everyday men boxers.",Retargeting,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-01-22,536.57,373787,4697.0,0.0126,133,4726.83,8.81,Video,Breathable microfiber that moves with you â€” limited offer on men inner vests.,Lookalike,Instagram,US
men co fortmax launch,Adset-1 Retarget,2025-01-23,825.98,300700,4489.0,0.0149,90,2264.44,2.74,Video,"Allâ€‘day comfort, zero pinch â€” try our men inner vests!",Broad,Facebook,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-01-24,445.9,305067,,0.0175,177,4527.81,10.15,UGC,No rideâ€‘up guarantee â€” bestâ€‘selling men briefs back in stock.,Retargeting,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-01-25,567.53,489752,7933.0,0.0162,225,9903.99,17.45,UGC,"Ultraâ€‘soft waistband, no marks â€” premium men inner vests.",Broad,Instagram,US
Men ComfortMax Launch,Adset-1 Retarget,2025-01-26,796.36,98102,1600.0,0.0163,39,,1.64,Image,3â€‘pack deal ends tonight â€” upgrade your men drawer with athletic briefs.,Broad,Instagram,IN
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-27,455.36,83162,1179.0,0.0142,29,1067.76,2.34,Video,3â€‘pack deal ends tonight â€” upgrade your men drawer with briefs.,Broad,Instagram,IN
Men ComfortMax Launch,Adset-1 Retarget,2025-01-28,1398.53,423537,8159.0,0.0193,213,8425.0,6.02,Video,Seamless confidence for every day â€” new men athletic briefs.,Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,2025-01-29,715.8,416262,6086.0,0.0146,166,4671.36,6.53,Carousel,"Allâ€‘day comfort, zero pinch â€” try our men inner vests!",Broad,Facebook,IN
Men ComfortMax Lunch,Adset-1 Retarget,2025-01-30,,157562,2038.0,0.0129,55,1178.68,2.68,Image,No rideâ€‘up guarantee â€” bestâ€‘selling men athletic briefs back in stock.,Retargeting,Facebook,IN
Men ComfortMax Launch,Adset-1 Retarget,2025-01-31,,121637,1530.0,0.0126,38,737.03,0.67,Video,3â€‘pack deal ends tonight â€” upgrade your men drawer with athletic briefs.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-02-01,783.06,507732,12757.0,0.0251,179,7065.13,9.02,Image,Invisible under tees â€” seamless men inner vests.,Broad,Facebook,US
men comfortmax launch,Adset-1 Retarget,2025-02-02,358.02,51855,1048.0,0.0202,29,842.21,2.35,UGC,"Allâ€‘day comfort, zero pinch â€” try our men inner vests!",Broad,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-02-03,742.66,375014,6447.0,0.0172,114,4991.08,6.72,UGC,Confidence starts inside â€” elevate with men athletic briefs.,Broad,Facebook,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-02-04,519.58,322754,2881.0,0.0089,61,1684.29,3.24,Video,Confidence starts inside â€” elevate with men inner vests.,Broad,Facebook,UK
Men_ComfortMax_Launch,Adset-1 Retarget,2025-02-05,350.47,252523,5734.0,0.0227,129,3709.99,10.59,Image,"Ultraâ€‘soft waistband, no marks â€” premium men boxers.",Broad,Facebook,UK
Men Comfortmax Launch,Adset-1 Retarget,2025-02-06,586.48,35014,828.0,0.0236,14,442.19,0.75,Video,Summerâ€‘ready essentials â€” sweatâ€‘wicking men briefs.,Lookalike,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-02-07,110.27,25467,500.0,0.0196,12,341.77,3.1,Image,Seamless confidence for every day â€” new men boxers.,Broad,Instagram,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-02-08,442.85,490264,7530.0,0.0154,181,4214.83,9.52,Video,"Wireâ€‘free ease, cloudâ€‘soft cups â€” men inner vests that fits right.",Lookalike,Instagram,IN
Men  ComfortMax  Launch,Adset-1 Retarget,2025-02-09,702.25,23822,,0.0163,8,169.52,0.24,Image,Hot & comfy: men briefs now 20% off â€” feel the difference.,Broad,Facebook,IN
Men  ComfortMax  Launch,Adset-1 Retarget,2025-02-10,409.48,385416,5036.0,0.0131,135,5165.99,12.62,Image,"Ultraâ€‘soft waistband, no marks â€” premium men trunks.",Lookalike,Instagram,UK
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-02-11,534.52,484824,6728.0,0.0139,152,5817.57,10.88,Image,"Push comfort, not wires â€” everyday men briefs.",Broad,Facebook,US
men comfortmax launch,Adset-1 Retarget,2025-02-12,165.23,268668,3995.0,0.0149,117,3335.49,20.19,Carousel,Breathable cotton that moves with you â€” limited offer on men inner vests.,Broad,Instagram,US
Men ComfortMax Launch,Adset-1 Retarget,2025-02-13,525.62,332973,5363.0,0.0161,125,4519.75,8.6,Video,Hot & comfy: men boxers now 20% off â€” feel the difference.,Retargeting,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-02-14,666.54,263165,4437.0,0.0169,117,3214.54,4.82,UGC,No rideâ€‘up guarantee â€” bestâ€‘selling men briefs back in stock.,Retargeting,Instagram,US
Men Comfortmax Lau ch,Adset-1 Retarget,2025-02-15,165.12,368092,8592.0,0.0233,184,3733.47,22.61,UGC,Confidence starts inside â€” elevate with men inner vests.,Lookalike,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-02-16,158.58,424902,5749.0,0.0135,202,7874.56,49.66,UGC,Invisible under tees â€” seamless men briefs.,Retargeting,Facebook,IN
men comfortmax launch,Adset-1 Retarget,2025-02-17,88.08,250079,4639.0,0.0186,130,4958.62,56.3,Carousel,"Push comfort, not wires â€” everyday men trunks.",Retargeting,Instagram,IN
Men Comfortmax Launch,Adset-1 Retarget,2025-02-18,1101.81,453248,6686.0,0.0148,185,8171.67,7.42,Image,Seamless confidence for every day â€” new men athletic briefs.,Retargeting,Instagram,IN
Men ComfortMax Launch,Adset-1 Retarget,2025-02-19,497.0,330799,6566.0,0.0198,182,3499.32,7.04,Image,Cooling mesh panels for workouts â€” men briefs youâ€™ll actually love.,Broad,Facebook,US
